Column,DetectedType
RaceEth,Categorical
HowOldAreYou,Categorical
WhatIsYourSex,Categorical
InWhatGradeAreYou,Categorical
AreYouHispanicOrLatino,Categorical
WhatIsYourRace,Categorical
HowTallAreYouWithoutShoesInMeters,Continuous
HowMuchDoYouWeighWithoutShoesInKG,Continuous
BicyleHelmetUse,Categorical
SeatBeltUse,Categorical
RidingWithADrinkingDriver,Categorical
DrinkingAndDriving,Categorical
WeaponCarrying,Categorical
GunCarryingPast12Mos,Categorical
WeaponCarryingAtSchool,Categorical
SafetyConcernsAtSchool,Categorical
WereThreatenedOrInjuredWithAWeaponOnSchoolProperty,Categorical
StolenOrDamagedYourProperty,Categorical
PhysicalFighting,Categorical
InjuredIFight,Categorical
PhysicalFightingAtSchool,Categorical
BoyfriendGirlfriendPhysicallyHurt,Categorical
ForcedSexualIntercourse,Categorical
SadOrHopeless,Categorical
ConsideredSuicide,Categorical
MadeASuicidePlan,Categorical
AttemptedSuicide,Categorical
InjuriousSuicide,Categorical
EverCigaretteUse,Categorical
InitiationSmokingWholeCigarette,Categorical
CurrentCigaretteUse,Categorical
SmokedMoreThan10Cigarettes,Categorical
HowObtainedCigarettes,Categorical
SmokeOnSchoolProperty,Categorical
EverSmokedDailyFor30Days,Categorical
EverSmokingCessation,Categorical
CurrentSmokelessTobaccoUse,Categorical
CurrentSmokelessTobaccoOnSchoolProperty,Categorical
CurrentCigarUse,Categorical
EverAlcoholUse,Categorical
InitiationOfAlcoholUse,Categorical
CurrentAlcoholUse,Categorical
CurrentBingeDrinking5OrMore,Categorical
SourceOfAlcohol,Categorical
DrinkAlcoholOnSchoolProperty,Categorical
EverMarijuaUse,Categorical
InitiationOfMarijuaUse,Categorical
CurrentMarijuaUse,Categorical
MarijuaOnSchoolProperty,Categorical
EverCocaineUse,Categorical
CocaineUsePast30Days,Categorical
EverInhalantUse,Categorical
EverHeroinUse,Categorical
EverMethamphetamineUse,Categorical
EverEcstasyUse,Categorical
EverSteriodUse,Categorical
IllegalInjectedDrugUse,Categorical
IllegalDrugsAtSchool,Categorical
EverSexualIntercourse,Categorical
FirstSexualIntercourse,Categorical
MultipleSexPartners,Categorical
CurrentSexualActivity,Categorical
AlcoholDrugsAndSex,Categorical
CondomUse,Categorical
BirthControlPillUse,Categorical
PerceptionOfWeight,Categorical
WeightLoss,Categorical
ExerciseToLoseWeight,Categorical
ConsumeFewerCaloriesToLoseWeight,Categorical
FastingToLoseWeight,Categorical
DietPillsToLoseWeight,Categorical
LaxativesToLoseWeight,Categorical
FruitJuiceDrinking,Categorical
FruitEating,Categorical
GreenSaladEating,Categorical
PotatoEating,Categorical
CarrotEating,Categorical
OtherVegetableEating,Categorical
NoSodaDrinking,Categorical
NoMilkDrinking,Categorical
PhysicalActivity5OrMoreDays,Categorical
TelevisionWatching,Categorical
ComputerUse,Categorical
PEAttendance,Categorical
SportsTeamParticipation,Categorical
TaughtAboutHIV,Categorical
Asthma,Categorical
StillHaveAsthma,Categorical
UsedMotorcycleHelmet,Categorical
EverUsedLSD,Categorical
AerobicExercise,Categorical
NoerobicExercise,Categorical
MinutesInPEPlayingSports,Categorical
InjuredWhileExercising,Categorical
HIVTesting,Categorical
SunscreenUse,Categorical
SunProtection,Categorical
Sleep,Categorical
HealthInGeneral,Categorical
BMIPCT,Continuous
weight,Continuous
stratum,Categorical
psu,Continuous
