Column,MissingCount,MissingRatio(%)
WhatIsYourRace,2147,15.290933694181327
UsedMotorcycleHelmet,2072,14.756783704864326
SunProtection,2013,14.336585713268285
HIVTesting,1921,13.681361726372765
Sleep,1887,13.439213731215727
SunscreenUse,1882,13.403603731927927
InjuredWhileExercising,1863,13.268285734634286
HealthInGeneral,1848,13.161455736770886
MinutesInPEPlayingSports,1846,13.147211737055764
EverUsedLSD,1729,12.313937753721245
InjuriousSuicide,1715,12.214229755715404
AttemptedSuicide,1557,11.088953778220924
NoerobicExercise,1548,11.024855779502884
AerobicExercise,1530,10.896659782066804
HowObtainedCigarettes,1430,10.184459796310804
CurrentAlcoholUse,1372,9.771383804572324
SourceOfAlcohol,1267,9.023573819528524
EverAlcoholUse,1233,8.781425824371484
BirthControlPillUse,1186,8.446691831066163
CondomUse,1135,8.083469838330604
CurrentSmokelessTobaccoOnSchoolProperty,1111,7.912541841749163
MultipleSexPartners,980,6.979559860408803
BMIPCT,979,6.972437860551242
HowTallAreYouWithoutShoesInMeters,979,6.972437860551242
AlcoholDrugsAndSex,979,6.972437860551242
HowMuchDoYouWeighWithoutShoesInKG,979,6.972437860551242
CurrentSexualActivity,965,6.872729862545403
FirstSexualIntercourse,955,6.801509863969803
EverSexualIntercourse,935,6.659069866818602
StillHaveAsthma,857,6.103553877928922
SmokedMoreThan10Cigarettes,830,5.911259881774803
CocaineUsePast30Days,824,5.868527882629442
FastingToLoseWeight,808,5.7545758849084825
EverSmokingCessation,744,5.298767894024642
CurrentCigaretteUse,718,5.113595897728082
DietPillsToLoseWeight,706,5.028131899437362
GunCarryingPast12Mos,685,4.878569902428602
BicyleHelmetUse,636,4.529591909408162
RidingWithADrinkingDriver,625,4.451249910975002
CurrentSmokelessTobaccoUse,622,4.429883911402322
CarrotEating,617,4.394273912114522
OtherVegetableEating,615,4.380029912399402
GreenSaladEating,595,4.2375899152482015
PotatoEating,592,4.2162239156755215
CurrentCigarUse,563,4.009685919806281
SportsTeamParticipation,545,3.8814899223702017
EverSmokedDailyFor30Days,544,3.8743679225126413
InitiationSmokingWholeCigarette,541,3.8530019229399617
TaughtAboutHIV,533,3.7960259240794816
CurrentBingeDrinking5OrMore,453,3.2262659354746814
SmokeOnSchoolProperty,446,3.176411936471761
NoMilkDrinking,443,3.1550459368990813
EverCigaretteUse,440,3.1336799373264017
WeaponCarrying,426,3.033971939320561
EverMarijuaUse,409,2.912897941742041
DrinkingAndDriving,407,2.898653942026921
PEAttendance,388,2.763335944733281
CurrentMarijuaUse,377,2.684993946300121
InjuredIFight,356,2.535431949291361
DrinkAlcoholOnSchoolProperty,354,2.521187949576241
InitiationOfMarijuaUse,345,2.457089950858201
MarijuaOnSchoolProperty,323,2.3004059539918806
ExerciseToLoseWeight,322,2.293283954134321
PhysicalFighting,321,2.2861619542767606
ConsumeFewerCaloriesToLoseWeight,307,2.186453956270921
LaxativesToLoseWeight,306,2.179331956413361
WeaponCarryingAtSchool,301,2.143721957125561
PhysicalFightingAtSchool,290,2.065379958692401
StolenOrDamagedYourProperty,287,2.044013959119721
InitiationOfAlcoholUse,286,2.0368919592621606
Asthma,280,1.994159960116801
EverEcstasyUse,253,1.8018659639626806
WeightLoss,250,1.7804999643900008
EverCocaineUse,249,1.7733779645324406
RaceEth,248,1.7662559646748808
PerceptionOfWeight,247,1.7591339648173208
MadeASuicidePlan,239,1.7021579659568404
EverInhalantUse,233,1.6594259668114806
ComputerUse,224,1.5953279680934407
ForcedSexualIntercourse,223,1.5882059682358804
EverMethamphetamineUse,218,1.5525959689480806
TelevisionWatching,216,1.5383519692329606
IllegalDrugsAtSchool,211,1.5027419699451605
BoyfriendGirlfriendPhysicallyHurt,206,1.4671319706573605
EverHeroinUse,203,1.4457659710846806
PhysicalActivity5OrMoreDays,201,1.4315219713695604
IllegalInjectedDrugUse,199,1.4172779716544406
EverSteriodUse,197,1.4030339719393206
SadOrHopeless,196,1.3959119720817605
AreYouHispanicOrLatino,182,1.2962039740759206
ConsideredSuicide,182,1.2962039740759206
SeatBeltUse,149,1.0611779787764404
FruitEating,148,1.0540559789188804
WereThreatenedOrInjuredWithAWeaponOnSchoolProperty,147,1.0469339790613204
SafetyConcernsAtSchool,147,1.0469339790613204
FruitJuiceDrinking,146,1.0398119792037606
NoSodaDrinking,136,0.9685919806281603
InWhatGradeAreYou,69,0.49141799017164023
HowOldAreYou,61,0.4344419913111601
WhatIsYourSex,13,0.09258599814828003
weight,0,0.0
stratum,0,0.0
psu,0,0.0
